SYMBOL,TRADE_DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,VOLUME
AAPL,07-SEP-1984,2.92,2.96,2.89,2.92,2981600
AAPL,10-SEP-1984,2.92,2.94,2.85,2.91,2346400
AAPL,11-SEP-1984,2.93,3.02,2.93,2.96,5444000
AAPL,12-SEP-1984,2.96,2.98,2.88,2.88,4773600
AAPL,13-SEP-1984,3.03,3.04,3.03,3.03,7429600
AAPL,14-SEP-1984,3.04,3.14,3.04,3.07,8826400
AAPL,17-SEP-1984,3.16,3.2,3.16,3.16,6886400
AAPL,18-SEP-1984,3.16,3.19,3.05,3.05,3495200
AAPL,19-SEP-1984,3.05,3.08,2.98,2.98,3816000
AAPL,20-SEP-1984,2.99,3.02,2.99,2.99,2387200
AAPL,21-SEP-1984,2.99,3.07,2.92,2.96,3591200
AAPL,24-SEP-1984,2.97,2.98,2.94,2.94,2833600
AAPL,25-SEP-1984,2.92,2.92,2.88,2.88,5977600
AAPL,26-SEP-1984,2.88,3.01,2.84,2.84,3987200
AAPL,27-SEP-1984,2.84,2.85,2.84,2.84,3796000
AAPL,28-SEP-1984,2.84,2.84,2.71,2.77,8344800
AAPL,01-OCT-1984,2.76,2.76,2.7,2.7,3521600
AAPL,02-OCT-1984,2.73,2.83,2.73,2.73,4258400
AAPL,03-OCT-1984,2.77,2.81,2.77,2.77,4335200
AAPL,04-OCT-1984,2.8,2.83,2.8,2.8,4482400
AAPL,05-OCT-1984,2.8,2.8,2.73,2.74,3510400
AAPL,08-OCT-1984,2.74,2.75,2.74,2.74,1721600
AAPL,09-OCT-1984,2.75,2.76,2.72,2.72,4515200
AAPL,10-OCT-1984,2.71,2.71,2.63,2.63,13070400
AAPL,11-OCT-1984,2.63,2.7,2.62,2.62,6553600
AAPL,12-OCT-1984,2.62,2.63,2.48,2.51,9522400
AAPL,15-OCT-1984,2.65,2.68,2.65,2.65,8715200
AAPL,16-OCT-1984,2.64,2.66,2.63,2.63,4246400
AAPL,17-OCT-1984,2.74,2.75,2.74,2.74,5636000
AAPL,18-OCT-1984,2.83,2.84,2.83,2.83,8842400
AAPL,19-OCT-1984,2.83,3.02,2.82,2.83,11673600
AAPL,22-OCT-1984,2.83,2.87,2.8,2.8,4108800
AAPL,23-OCT-1984,2.87,2.9,2.87,2.87,6668800
AAPL,24-OCT-1984,2.9,2.93,2.9,2.9,5989600
AAPL,25-OCT-1984,2.9,2.9,2.79,2.79,5676000
AAPL,26-OCT-1984,2.79,2.79,2.71,2.72,4113600
AAPL,29-OCT-1984,2.73,2.74,2.73,2.73,1836000
AAPL,30-OCT-1984,2.76,2.79,2.76,2.76,2677600
AAPL,31-OCT-1984,2.75,2.78,2.74,2.74,2191200
AAPL,01-NOV-1984,2.76,2.79,2.76,2.76,1680000
AAPL,02-NOV-1984,2.75,2.77,2.73,2.74,1004800
AAPL,05-NOV-1984,2.74,2.8,2.73,2.73,3764800
AAPL,06-NOV-1984,2.9,2.91,2.9,2.9,8073600
AAPL,07-NOV-1984,2.9,2.91,2.84,2.84,8286400
AAPL,08-NOV-1984,2.84,2.84,2.73,2.73,3162400
AAPL,09-NOV-1984,2.74,2.75,2.54,2.57,10518400
